tags,en_US,zh_CN,CN_py,zh_TW,TW_py,ja_JP,JP_ro,ko_KR,KR_ro
countries,America,美国,měiguó,美國,měiguó,,,,
countries,France,法国,fǎguó,法國,fàguó,,,,
countries,Germany,德国,déguó,德國,déguó,,,,
countries,Spain,西班牙,xībānyá,西班牙,xībānyá,,,,
countries,Sweden,瑞典,ruìdiǎn,瑞典,ruìdiǎn,,,,
countries,Switzerland,瑞士,ruìshì,瑞士,ruìshì,,,,
countries,Norway,挪威,nuówēi,挪威,nuówēi,,,,
countries,Japan,日本,rìběn,日本,rìběn,,,,
countries,Korea,韩国,hánguó,韓國,hánguó,,,,
countries,Mexico,墨西哥,mòxīgē,墨西哥,mòxīgē,,,,
countries,Canada,加拿大,jiānádà,加拿大,jiānádà,,,,
countries,U.K.;UK,英国,yīngguó,英國,yīngguó,,,,
countries,Russia,俄罗斯,èluósī,俄羅斯,èluósī,,,,
countries,Austria,奥地利,àodìlì,奧地利,àodìlì,,,,
countries,Hungary,匈牙利,xiōngyálì,匈牙利,xiōngyálì,,,,
countries,Czechia,捷克,jiékè,捷克,jiékè,,,,
countries,Vietnam,越南,yuènán,越南,yuènán,,,,
countries,Malaysia,马来西亚,mǎláixīyà,馬來西亞,mǎláixīyǎ,,,,
countries,Singapore,新加坡,xīnjiāpō,新加坡,xīnjiāpō,,,,
countries,Thailand,泰国,tàiguó,泰國,tàiguó,,,,
countries,India,印度,yìndù,印度,yìndù,,,,
countries,Australia,澳洲,àozhōu,澳洲,àozhōu,,,,
countries,Indonesia,印尼,yìnní,印尼,yìnní,,,,
countries,Finland,芬兰,fēnlán,芬蘭,fēnlán,,,,
countries,Italy,意大利,yìdàlì,意大利,yìdàlì,,,,
hsk_1,home;house,家,jiā,家,jiā,,,,
hsk_1,school,学校,xuéxiào,學校,xuéxiào,,,,
hsk_1,restaurant,饭店,fàndiàn,飯店,fàndiàn,,,,
hsk_1,store,商店,shāngdiàn,商店,shāngdiàn,,,,
hsk_1,hospital,医院,yīyuàn,醫院,yīyuàn,,,,
hsk_1,train,火车,huǒchē,火車,huǒchē,,,,
hsk_1,Beijing,北京,běijīng,北京,běijīng,,,,
hsk_1,up,上,shàng,上,shàng,,,,
hsk_1,down,下,xià,下,xià,,,,
hsk_1,front,前面,qiánmiàn,前面,qiánmiàn,,,,
hsk_1,behind,后面,hòumiàn,後面,hòumiàn,,,,
hsk_1,inside,里面,lǐmiàn,裡面,lǐmiàn,,,,
hsk_1,today,今天,jīntiān,今天,jīntiān,,,,
hsk_1,tomorrow,明天,míngtiān,明天,míngtiān,,,,
hsk_1,yesterday,昨天,zuótiān,昨天,zuótiān,,,,
hsk_1,morning,上午,shàngwǔ,上午,shàngwǔ,,,,
hsk_1,noon,中午,zhōngwǔ,中午,zhōngwǔ,,,,
hsk_1,afternoon,下午,xiàwǔ,下午,xiàwǔ,,,,
hsk_1,year,年,nián,年,nián,,,,
hsk_1,month,月,yuè,月,yuè,,,,
hsk_1,week,星期,xīngqī,星期,xīngqí,,,,
hsk_1,dot;spot;point,点,diǎn,點,diǎn,,,,
hsk_1,minute,分钟,fēnzhōng,分鐘,fēnzhōng,,,,
hsk_1,now,现在,xiànzài,現在,xiànzài,,,,
hsk_1,time,时间,shíjiān,時間,shíjiān,,,,
hsk_1,father;dad,爸爸,bàba,爸爸,bàba,,,,
hsk_1,mother;mom;mum,妈妈,māma,媽媽,māma,,,,
hsk_1,son,儿子,érzi,兒子,érzi,,,,
hsk_1,daughter,女儿,nǚér,女兒,nǚér,,,,
hsk_1,teacher,老师,lǎoshī,老師,lǎoshī,,,,
hsk_1,student,学生,xuéshēng,學生,xuéshēng,,,,
hsk_1,friend,朋友,péngyou,朋友,péngyǒu,,,,
hsk_1,doctor,医生,yīshēng,醫生,yīshēng,,,,
hsk_1,cloth,衣服,yīfu,衣服,yīfú,,,,
hsk_1,water,水,shuǐ,水,shuǐ,,,,
hsk_1,vegetable,菜,cài,菜,cài,,,,
hsk_1,rice,米饭,mǐfàn,米飯,mǐfàn,,,,
hsk_1,fruit,水果,shuǐguǒ,水果,shuǐguǒ,,,,
hsk_1,apple,苹果,píngguǒ,蘋果,píngguǒ,,,,
hsk_1,tea,茶,chá,茶,chá,,,,
hsk_1,cup,杯子,bēizi,杯子,bēizi,,,,
hsk_1,money;monies,钱,qián,錢,qián,,,,
hsk_1,airplane,飞机,fēijī,飛機,fēijī,,,,
hsk_1,taxi,出租车,chūzūchē,計程車,jìchéngchē,,,,
hsk_1,television;TV,电视,diànshì,電視,diànshì,,,,
hsk_1,computer,电脑,diànnǎo,電腦,diànnǎo,,,,
hsk_1,movie;film,电影,diànyǐng,電影,diànyǐng,,,,
hsk_1,weather,天气,tiānqì,天氣,tiānqì,,,,
hsk_1,cat,猫,māo,貓,māo,,,,
hsk_1,dog,狗,gǒu,狗,gǒu,,,,
hsk_1,thing,东西,dōngxi,東西,dōngxī,,,,
hsk_1,person;people,人,rén,人,rén,,,,
hsk_1,name,名字,míngzi,名字,míngzi,,,,
hsk_1,book,书,shū,書,shū,,,,
hsk_1,Chinese,中文,zhōngwén,中文,zhōngwén,,,,
hsk_1,word,字,zì,字,zì,,,,
hsk_1,desk,桌子,zhuōzi,桌子,zhuōzi,,,,
hsk_1,chair,椅子,yǐzi,椅子,yǐzi,,,,
hsk_1,thank you,谢谢,xièxie,謝謝,xièxiè,,,,
hsk_1,you're welcome,不客气,búkèqì,不客氣,búkèqì,,,,
hsk_1,goodbye,再见,zàijiàn,再見,zàijiàn,,,,
hsk_1,please,请,qǐng,請,qǐng,,,,
hsk_1,sorry,对不起,duìbùqǐ,對不起,duìbùqǐ,,,,
hsk_1,have;had,有,yǒu,有,yǒu,,,,
hsk_1,look,看,kàn,看,kàn,,,,
hsk_1,listen,听,tīng,聽,tīng,,,,
hsk_1,speak;talk,说话,shuōhuà,說話,shuōhuà,,,,
hsk_1,read,读,dú,讀,dú,,,,
hsk_1,write,写,xiě,寫,xiě,,,,
hsk_1,see,看见,kànjiàn,看見,kànjiàn,,,,
hsk_1,come,来,lái,來,lái,,,,
hsk_1,go,去,qù,去,qù,,,,
hsk_1,eat,吃,chī,吃,chī,,,,
hsk_1,drink,喝,hē,喝,hē,,,,
hsk_1,sleep,睡觉,shuìjiào,睡覺,shuìjiào,,,,
hsk_1,phone;telephone,电话,diànhuà,電話,diànhuà,,,,
hsk_1,buy,买,mǎi,買,mǎi,,,,
hsk_1,open,开,kāi,開,kāi,,,,
hsk_1,sit,坐,zuò,坐,zuò,,,,
hsk_1,study,学习,xuéxí,學習,xuéxí,,,,
hsk_1,work,工作,gōngzuò,工作,gōngzuò,,,,
hsk_1,rain,下雨,xiàyǔ,下雨,xiàyǔ,,,,
hsk_1,love,爱,ài,愛,ài,,,,
hsk_1,like,喜欢,xǐhuān,喜歡,xǐhuān,,,,
hsk_1,think,想,xiǎng,想,xiǎng,,,,
hsk_1,can,会,huì,會,huì,,,,
hsk_1,able,能,néng,能,néng,,,,
hsk_1;countries,China,中国,zhōngguó,中國,zhōngguó,,,,
,North,北,běi,北,běi,,,,
,East,东,dōng,東,dōng,,,,
,West,西,xī,西,xī,,,,
,South,南,nán,南,nán,,,,